main-captions	MSRvid	2012test	1	1	The practice is often to ask for a quorum and then leave the hemicycle.	The practice is often to ask for a quorum and then leave the hemicycle.
main-forum	deft-forum	2014	162	0	I will end by quoting one of the amendments tabled by the Committee on the Environment, which no longer needs comment: "Water is not a commercial product like any other, but a heritage that belongs to the peoples of Europe. the European Union and which must be protected, defended and treated as such ".	I will close by quoting one of the amendments tabled by the Committee on the Environment, which needs no further comment: "Water is not a commercial product like any other but, rather, a heritage which belongs to the peoples of the European Union and which must be protected, defended and treated as such" .
main-forum	deft-forum	2014	163	1	The convergence of the political and monetary Europe inevitably leads to the convergence of the rules of the game of labor markets and social protection.	The convergence of the political and monetary Europe inevitably leads to the convergence of the rules of the game of labor markets and social protection.
main-forum	deft-forum	2014	164	1	In the new legislation, we must not forget the economy of the outermost and island regions, which must be preserved.	In the new legislation, we must not forget the economy of the outermost and island regions, which must be preserved.
main-forum	deft-forum	2014	165	1	I am taking part, on behalf of Parliament, in the tripartite budget dialogue to define the guidelines.	I participate, on behalf of Parliament, in tripartite budget dialogue to set the guidelines.
main-forum	deft-forum	2014	166	0	In the 1998 Court of Auditors' report, an error in the calculation of the Italian wine exchange rate had cost European taxpayers between GBP 8 and 10 million.	In the 1998 Court of Auditors report an exchange rate miscalculation in relation to Italian wine cost the taxpayers of Europe GBP 8 to 10 million.
main-forum	deft-forum	2014	167	1	We must know that the money is spent properly.	We must know that the money is spent properly.
main-forum	deft-forum	2014	168	0	In this particular situation, it would seem that the current discharge procedure would be a perilous exercise.	In this specific situation, it would seem that the current discharge procedure would be a perilous exercise.
main-forum	deft-forum	2014	169	0	We must therefore reflect on this issue at length, in a spirit of openness, and all the institutions - Commission, Parliament, Council - will have to reflect on their own roles and their own policies.	We therefore need to reflect on this at length and with an open mind, and all the institutions - Commission, Parliament, Council - will have to consider their own roles and their own policies.
main-forum	deft-forum	2014	170	1	Some debates have taken place, particularly in recent months, on the role that the Development Council can play in the framework of EU policies.	There has been some discussion, particularly in recent months, of the role the Development Council can play in the context of EU policies.
main-forum	deft-forum	2014	171	1	That said, various amendments to the rapporteur's initial draft were adopted in committee, stressing in particular the need for an effective refund of aid deemed illegal and the establishment of a list of results.	This being the case, various amendments to the rapporteur's initial draft were adopted in committee, in particular stressing the need for an effective refund of aid deemed illegal and the establishment of a list of results.
main-forum	deft-forum	2014	172	0	This is why we can only accept radical changes in the Community's trade policy in this area if we take full account of its regional impact and if we do not take the necessary measures in this area in terms of economic and social cohesion. .	For this reason it is not possible for us to accept radical changes in the Community' s trade policy in this field unless we take full account of its regional impact and unless we take the necessary measures in this field in terms of economic and social cohesion.
main-forum	deft-forum	2014	173	0	A State like France has already effectively applied the terms of the Marpol Convention by ensuring that each port has high quality waste treatment and disposal facilities, managed by private companies, which directly charge the shipowner type and nature of waste. Reducing the costs of using ships considered "ecological" is therefore only natural.	A State such as France has already in fact implemented the terms of the Marpol Convention by guaranteeing that each port has top quality waste disposal and processing facilities, operated by private companies, which invoice the shipowner directly according to the type and nature of the waste. Reducing the costs for use by vessels deemed to be 'ecological' is therefore only natural.
main-forum	deft-forum	2014	174	0	Madam President, we would like to retain the compromise amendment.	Madam President, we would like to keep the compromise amendment.
main-forum	deft-forum	2014	175	1	I welcome the fact that the Kuhne report calls for a report on the new inventory system for Parliament.	I welcome the fact that the Kuhne report has asked for a report on the new inventory system for Parliament.
main-forum	deft-forum	2014	176	0	We do not think this should be the case, especially given the need for small and medium-sized businesses to be able to do business.	We do not believe that this should be the case, especially in view of the need for small and medium-sized companies to be able to do business.
main-forum	deft-forum	2014	177	0	I say to all those who say that sanctions are for the government but not for the people, that such separation is not possible.	I therefore say to everyone who declares that the sanctions are for the government but not the people, that such a separation is not possible.
main-forum	deft-forum	2014	178	0	We are also interested in the issue of cooperation.	We are also concerned with the question of cooperation.
main-forum	deft-forum	2014	179	0	Special European Council (Lisbon, 23 and 24 March 2000)	Special European Council (23-24 March 2000 in Lisbon)
main-forum	deft-forum	2014	180	0	Ecolabel	Eco-label
main-forum	deft-forum	2014	181	1	I would only like to touch on one subject in particular, namely what happened to the initiatives taken by Parliament under Article 192 of the EC Treaty.	I would only like to touch on one subject in particular, namely what has happened to the initiatives taken by Parliament under Article 192 of the EC Treaty.
main-forum	deft-forum	2014	182	1	With regard to the participation of legal entities from third countries and international organizations, all indirect research activities under thematic programs are open to research entities from partner countries in the Mediterranean and developing countries. development, in principle without Community funding - the only exception is in situations where Community funding is considered absolutely essential for the objectives of this activity.	With regard to the participation of legal entities from third countries and international organizations, all indirect research activities under thematic programs are open to research entities from partner countries in the Mediterranean and developing countries. development, in principle without Community funding - the only exception concerns situations in which Community funding is considered absolutely vital for the objectives of this activity.
main-forum	deft-forum	2014	183	0	This should be part of international economic governance.	This should be part of international economic governance.
main-forum	deft-forum	2014	184	1	We are in criminal matters and the criminal law is interpreted strictly.	We are in criminal matters, and the criminal law is strictly interpreted.
main-forum	deft-forum	2014	185	1	The Court of Auditors has many powers that Parliament should use to draw its own political conclusions.	The Court of Auditors has a lot of expertise, expertise that Parliament should use to come to its own political conclusions.
main-forum	deft-forum	2014	186	0	Austrians working abroad saw their cars ransacked, stones thrown on their homes and their children threatened at school.	Austrians working abroad had their cars vandalised, stones thrown at their houses and their children were threatened at school.
main-forum	deft-forum	2014	187	1	I would like the country, but also the region of origin, to appear on the labels.	I would like the country, but also the region of origin, to appear on the labels.
main-forum	deft-forum	2014	188	0	Until we have a firm position, we will not achieve anything with the Chinese authorities.	Until we have a firm position, we will achieve nothing with the Chinese authorities.
main-forum	deft-forum	2014	189	1	In my opinion, this is not the way to conceive a development policy and to bring about the indispensable and urgent rapprochement of national policies in this field.	In my opinion, this is not the way to conceive a development policy and to proceed to the indispensable and urgent rapprochement of national policies in this area.
main-forum	deft-forum	2014	190	0	In my opinion, one of the major mistakes of the past, in our information policy, was the fact that it was often top-down information identified, wrongly, I must say, as propaganda.	In my opinion, one of the major mistakes of the past, in our information policy, was the fact that this was often top-down information identified, wrongly, I must say, as propaganda.
main-forum	deft-forum	2014	191	0	This is reasonable because it comes from the Committee on Budgetary Control.	That is reasonable because it comes from the Budgetary Control Committee.
main-forum	deft-forum	2014	192	1	The Klamt report may not be ambitious enough, but at least it has the merit of going in the right direction.	The Klamt report may not be ambitious enough, but at least it has the merit of going in the right direction.
main-forum	deft-forum	2014	193	1	What will the European Union do for Macedonia?	What will the European Union do for Macedonia?
main-forum	deft-forum	2014	194	0	Fourthly, to widen the public of culture, with particular attention to attracting young people to culture and, fifth, to protect the common cultural heritage on a European scale and the history of the peoples of Europe and to to make better known.	Fourthly, increasing audiences for culture, with particular emphasis on attracting young people to culture and, fifthly, protecting the common cultural heritage on the European scale as well as the history of the peoples of Europe, and making them better known.
main-forum	deft-forum	2014	195	0	I urge members to meet those expectations.	I strongly urge MEPs to meet these expectations.
main-forum	deft-forum	2014	196	0	You can request access to information, but if you do not receive it, you must begin to apply some rigidity and postpone rejection.	You can ask for access to information, but if you do not get it then you have to start applying a certain rigidity and postpone discharge.
main-forum	deft-forum	2014	197	1	For the moment, there are few financial incentives in this area when insurance pays the bill.	For the time being, there are few financial incentives in this area when insurance pays the bill.
main-forum	deft-forum	2014	198	0	We also face difficulties with offenses.	We also face difficulties with regard to offences.
main-forum	deft-forum	2014	199	0	I also note that you insist that the indications of origin must indicate the country, even if it means listing several countries on the label.	I also note that you insist that indications of origin must state the country, even if this means listing several countries on the label.
main-forum	deft-forum	2014	200	0	As a result, we were able to table a number of amendments together and reach agreement on a number of issues.	As a result of this, we have been able to table various amendments in a joint effort and reach agreement on a number of issues.
main-forum	deft-forum	2014	201	0	Our problem is therefore to avoid a crisis in the peripheral economies, which does not mean centralization or a centralized program, but gives the peripheral economies the same opportunities as we give to centralized economies.	Our problem is therefore that of avoiding a crisis in peripheral economies, which does not mean centralisation, nor a centralised programme, but giving peripheral economies the same chances that we give centralised economies.
main-forum	deft-forum	2014	202	0	I very much hope that we can all live on a planet also inhabited by the European Council, the General Affairs Council and Ecofin.	I would very much hope that we can all live on a planet which is also inhabited by the European Council, the General Affairs Council and Ecofin.
main-forum	deft-forum	2014	203	1	Do not you think that in this area, the question of the cost of vaccines and money has taken into account the interest of consumers?	Do you not think that in this area, the question of the cost of vaccines and the money has taken over the interest of consumers?
main-forum	deft-forum	2014	204	0	As you know, there is a parliamentary delegation chaired by Mr Méndez de Vigo and a Committee on Constitutional Affairs where these issues can be discussed at length.	You know that there is a Parliamentary delegation chaired by Mr MÃ©ndez de Vigo and a Committee on Constitutional Affairs where these issues can be debated at great length.
main-forum	deft-forum	2014	205	0	There came a time when it seemed that progress had been made, even though nothing could be considered satisfactory. But in the end, even this slight progress has disappeared in recent days, since the United States has sent ICAO a petition under Article 84 of the Chicago Convention against the European Union concerning the regulation whose purpose, as I said, is to protect the environment.	A time came when it seemed that some progress had been made, though far from anything that could be considered satisfactory, but in the end even that slight progress has vanished in the last few days, since the US has petitioned the ICAO under Article 84 of the Chicago Convention against the European Union concerning the regulation whose purpose, as I said, is to protect the environment.
main-forum	deft-forum	2014	206	1	We must build another Europe capable of spreading, in the East as in the South, to all peoples who democratically express their wish.	We need to build another Europe capable of expanding, to the East and the South, to all the peoples who democratically express their wish.
main-forum	deft-forum	2014	207	0	From a political point of view, citizens of the Union are considered as such because they are citizens of one of the Member States, which enables them to participate fully in political life and, in particular, in to express oneself in elections, to assume the responsibility of collective representation. electoral and to compete for permanent posts in public administrations.	In a political sense, the citizens of the Union are classed as such by virtue of being citizens of one of the Member States and this allows them to enjoy full political participation and, in particular, to express themselves in elections, to take collective representative responsibility of an electoral nature and to compete for permanent posts in the public administrations.
main-forum	deft-forum	2014	208	1	The provisions that concern them, in particular the conditions required to start and continue their activity, are adapted to the regulations in force.	The provisions concerning them, in particular the conditions required for them to start and continue their activity, are adapted to the regulations in force.
main-forum	deft-forum	2014	209	1	I am somewhat surprised that paragraph 10 of the draft resolution does not seem to repeat the basic criticisms of the current centralized financial control function in the two reports of the Committee of Experts.	I am somewhat surprised that paragraph 10 of the draft resolution does not seem to repeat the fundamental criticisms of the current centralized financial control function expressed in the two reports of the Committee of Experts.
main-forum	deft-forum	2014	210	0	We also emphasize the importance of how the strategy is managed. On the one hand, it would be useful to have guidelines and a process referred to in Luxembourg, but we also think that it is important, as already mentioned by Mrs Van Lancker, that guidelines be drafted to take into account less typical work scenarios, such as traders, etc.	We would also underline the importance of the way in which the strategy is handled. On the one hand, it would be useful to have guidelines and a process styled on Luxembourg, but we also think it is important, as is already mentioned by Mrs Van Lancker, that guidelines are drafted to accommodate less typical work scenarios, such as sole traders, etc.
main-forum	deft-forum	2014	211	0	In some cases, there have been incidents of food containing insects, etc.	In some cases, there have been incidents of food containing insects and such like.
main-forum	deft-forum	2014	212	0	It may, however, result in significant weight loss and early stage death in affected fish. It has therefore had a serious economic impact on the entire Scottish aquaculture sector, resulting in losses of 60 to 70 million euros for the sector concerned. compulsory premature slaughter and other eradication measures.	It can, nevertheless, in the affected fish, lead to severe weight loss and early death in its advanced stages and it therefore has had a serious economic impact on the whole Scottish aquaculture sector costing the industry around EUR 60 to 70 million in losses arising from the mandatory premature culling and other eradication measures.
main-forum	deft-forum	2014	213	0	However, great attention must be paid to its viability.	However, a great deal of attention must be paid to its viability.
main-forum	deft-forum	2014	214	1	The fact that the existence of double criminality remains possible, in exceptional circumstances, should not overshadow the essential contribution of this joint action, namely the affirmation of the principle of extraterritorial jurisdiction applicable to one of its nationals or to a person ordinarily resident on its territory.	The fact that the existence of double criminality remains possible, by way of exception, must not obscure the essential contribution of that joint action, namely the assertion of the principle of extraterritorial jurisdiction applicable to one of its nationals or a person ordinarily resident in its territory.
main-forum	deft-forum	2014	215	0	Mr. President, our sympathies and solidarity are with the people and regions affected by the disaster, but good intentions are not enough, we must compensate for the damages and losses related to the restoration of the environment and shellfish farms and fishing equipment. .	Mr President, our sympathy and our solidarity go out to those people and regions stricken by the disaster, but good intentions are not enough, there must be compensation for the damage and losses covering both the restoration of the environment and the shellfish farms and fishing equipment.
main-forum	deft-forum	2014	216	1	If this is so, we have not made any progress since the days of the Sun King.	If this is so, we have not made any progress since the days of the Sun King.
main-forum	deft-forum	2014	217	0	This is something that Parliament has said it wants to see added.	This is something which Parliament has said it wants to see added.
main-forum	deft-forum	2014	218	1	What is it about ?	What is it about ?
main-forum	deft-forum	2014	219	1	It is intolerable that the EU interferes with the formation of the government of a Member State.	It is intolerable that the EU interferes with the formation of the government of a Member State.
main-forum	deft-forum	2014	220	1	We believe that reality is the work of God.	We believe that reality is the work of God.
main-forum	deft-forum	2014	221	0	Now it is freedom, security and justice, and I hope that the current left-wing governments will listen to the words of Commissioner Vitorino and resist the temptation to raise security, no matter how important, beyond equally important imperatives of freedom and justice.	Now it is freedom, security and justice, and I hope that the current governments of the left will heed the words of Commissioner Vitorino and resist the temptation to elevate security, important as it is, above the equally important needs of freedom and justice.
main-forum	deft-forum	2014	222	1	At this summit, the Union's strategic objective was to build a world-class, knowledge-based, highly competitive and dynamic economic system, stable in terms of growth and creating new and better jobs. .	At this Summit, the strategic goal of the Union has been the formation of a world-class, knowledge-based, most competitive and dynamic economic system, which is stable in growth, and which creates new and better jobs.
main-forum	deft-forum	2014	223	0	As rapporteur for the discharge of the budget of our own institution, I would have appreciated Mr Seppänen taking the time to take a look at my report, which dealt expressly and critically with the question of the inventory. and who was available. in all languages ​​to all my colleagues in the House as of February 10.	As rapporteur for the discharge of our own institution' s budget, I would have appreciated it if Mr SeppÃ¤nen had taken the trouble to cast an eye over my report, which expressly and critically dealt with the issue of the inventory and which was available in all languages to all my colleagues here in the House from 10 February.
main-forum	deft-forum	2014	224	1	Our policy is to aim for realistic goals and achievable solutions.	Our policy is to aim for realistic goals and achievable solutions.
main-forum	deft-forum	2014	225	1	Let us observe this result, let us rejoice and give ourselves a certificate of great openness to a useful strategy.	Let us observe this result, let us rejoice in it and give us a certificate of great openness to a useful strategy.
main-forum	deft-forum	2014	226	0	I would like to ask the Commissioner some questions.	I should like to ask the Commissioner a couple of questions.
main-forum	deft-forum	2014	227	0	You will soon be in office for a year, so we must make sure that you will also be responsible if you do not fulfill your responsibilities.	You will soon have been in office for a year, so we have to observe that you too will be accountable if you fail to meet your responsibilities.
main-forum	deft-forum	2014	228	0	Would you be kind enough to bear with me for a few minutes?	Would you be so kind as to bear with me for a few minutes.
main-forum	deft-forum	2014	229	0	As regards liberalization, the first task proposed by the Commission, it starts from one principle: the consolidation of the single market for financial services requires the removal of obstacles hindering its operation.	With regard to liberalisation, the first of the tasks which the Commission proposes, the Commission starts from one premise: the consolidation of the single market in financial services requires the removal of the barriers which hinder its operation.
main-forum	deft-forum	2014	230	1	We look forward to hearing from you, ladies and gentlemen, your subsequent opinion, in which you will specify Parliament's priorities and concrete proposals for this negotiation.	We are waiting now, ladies and gentlemen, with much interest, for your subsequent opinion, in which you will specify Parliament 's priorities and concrete proposals for this negotiation.
main-forum	deft-forum	2014	231	1	From there, we can start from scratch and in these conditions, treat the old cars immediately.	From there, we can start from scratch and in these conditions, treat the old cars immediately.
main-forum	deft-forum	2014	232	0	This puts an end to the common debate.	That concludes the joint debate.
main-forum	deft-forum	2014	233	1	The legal framework is quite complex.	The legal framework is quite complex.
main-forum	deft-forum	2014	234	1	Today's debate has highlighted the limits of this agreement: the absence of a link between economic liberalization and the guarantee of respect for human rights, democratic rights, trade union rights and the work of minors; the existence, on the other hand, of a dangerous derogatory norm as to the origin of the products, which certainly tends to penalize the European productions, in particular in the sectors of the textile, the clothing and the shoe.	This agreement, however, has limitations that today 's debate has highlighted: lack of relationship between economic liberalization and guarantee of respect for human rights, democratic, trade union and labor rights of minors; the existence, on the other hand, of a dangerous derogatory norm as to the origin of the products, which certainly tends to penalize European productions, in particular in the sectors of textile, clothing and footwear.
main-forum	deft-forum	2014	235	0	Mrs Buitenweg, we are voting for the moment.	Mrs Buitenweg, we are voting at the moment.
main-forum	deft-forum	2014	236	0	I would like to suggest to the Commission to set a deadline for the implementation of the reforms.	I would like to suggest to the Commission that it prescribe a deadline by which the reforms have to be carried out.
main-forum	deft-forum	2014	237	0	Personally, I pleaded for a somewhat firmer line and supported Amendments Nos 1, 4, 6, 7 and 8, as well as the oral amendment tabled by the Socialist Group.	Personally I argued in favour of a rather harder line, and I supported Amendments Nos 1, 4, 6, 7 and 8, as well as the oral amendment tabled by the Socialist Group.
main-forum	deft-forum	2014	238	1	We have already thanked Mr. Papayannakis for his work.	We have already thanked Mr. Papayannakis for his work.
main-forum	deft-forum	2014	239	1	This is where lies the future of the fiscal and budgetary autonomy of the European Union and, in part, its own political autonomy.	This is where the future of the fiscal and budgetary autonomy of the European Union lies and, in part, its own political autonomy as well.
main-forum	deft-forum	2014	240	0	We are against such an approach.	We are against such an approach.
main-forum	deft-forum	2014	241	0	Knowing that everyone has the right to social protection and a guaranteed minimum social income, I think we should not forget people who are not born in the European Union.	Bearing in mind that everybody has the right to social protection and a minimum guaranteed social income, I believe that we must not forget about those people who were not born in the European Union.
main-forum	deft-forum	2014	242	0	Instead of all these rumors about the budget allocated to this fund, we could make the decision to create it.	Instead of all this waffling about the budget granted to this fund, we could take the decision to set this up.
main-forum	deft-forum	2014	243	1	Therefore - and I finish my speech - I thank you again for your help so that we can assess the stability with more technical guarantees and better comparability.	Therefore - and I finish my speech - I thank you again for your help so that we can assess the stability with more technical guarantees and better comparability.
main-forum	deft-forum	2014	244	0	In this context, the Council reiterates its appeal to the Serbian leadership to participate in the joint administrative structures.	In this context, the Council repeats its appeal to the Serbian leaders to participate in the joint interim administrative structures.
main-forum	deft-forum	2014	245	1	We must therefore discuss it with the Director of OLAF.	We must therefore discuss it with the Director of OLAF.
main-forum	deft-forum	2014	246	0	Unfortunately, the European Parliament has complied with the interests of the industry.	Here, unfortunately, the European Parliament has bowed to the interests of industry.
main-forum	deft-forum	2014	247	0	The vote will take place tomorrow at 11.30 am	The vote will be taken tomorrow at 11.30 a.m.
main-forum	deft-forum	2014	248	1	Even today, at the Association Council, Mr. Cem, Turkish Minister of Foreign Affairs, declared that there were no occupation troops in Cyprus, but an army that came to liberate the Greek Cypriots as well as the Cypriots Turks.	Even today, at the Association Council, Mr. Cem, the Turkish Minister for Foreign Affairs, has stated that there are no occupation troops in Cyprus but an army that has come to liberate Greek Cypriots as well as Turkish Cypriots.
main-forum	deft-forum	2014	249	0	The competent national authorities are in no way familiar with these procedures.	The competent national administrations are by no means familiar with these procedures.
main-forum	deft-forum	2014	250	0	It is essential to create new jobs, which depends on entrepreneurs' initiative and creativity.	It is vital for new jobs to be created and this depends on the initiative and the creativity of entrepreneurs.
main-forum	deft-forum	2014	251	0	The hon. Member is probably right.	Probably, the honourable Member is right.
main-forum	deft-forum	2014	252	1	As you may know, in Finland the president is not only a thought leader, he is also the supreme leader of the defense forces. So it was a pretty interesting and historical situation	As you may know, in Finland the president is not only an opinion leader but also the supreme leader of the defense forces. So it was a pretty interesting and historical situation
main-forum	deft-forum	2014	253	1	I listened to Mr. Segni's speech.	I listened to Mr Segni 's speech.
main-forum	deft-forum	2014	254	0	I have some doubts about one or two of these projects, especially Amendment 7, which I do not see as being environmental at all, nor as contributing to the overall attempt to reduce the amount of substances deplete the ground ozone layer in the Union.	There are one or two that went through that I have some doubts about, particularly Amendment No 7, which I cannot see as being environmental at all, or as contributing to the overall attempt to reduce the amount of ozone-depleting substances at ground level anywhere in the Union.
main-forum	deft-forum	2014	255	0	Thus, chocoholics can now master the knowledge they make for the third world.	So chocoholics can now munch safe in the knowledge they are doing their bit for the Third World.
main-forum	deft-forum	2014	256	1	The debate is closed.	The debate is closed.
main-forum	deft-forum	2014	257	0	It will be an interesting vote. It is unreasonable at this stage to postpone it at a time when many people will be gone.	It is going to be an interesting vote. It is unreasonable at this stage to postpone it to a time when a lot of people will have left.
main-forum	deft-forum	2014	258	0	This does not mean centralization and standardization, by no means; on the contrary, it means promoting cultural diversity.	This does not mean centralisation and standardisation, by no means; on the contrary, it means promoting cultural diversity.
main-forum	deft-forum	2014	259	0	What does the internal market mean for European construction?	What does the internal market mean to European construction?
main-forum	deft-forum	2014	260	0	(The sitting was suspended at 17.25 and resumed at 5.30 pm)	(The sitting was suspended at 5.25 p.m. and resumed at 5.30 p.m.)
main-forum	deft-forum	2014	261	0	In summary, only amendments 1 and 2 can be approved, for the reasons mentioned above.	To summarise, it is only Amendments Nos 1 and 2 which may be approved, and this for the aforesaid reasons.
main-forum	deft-forum	2014	262	1	The rapporteur concludes that a type of medium-term stabilization and regional development program will have to be created.	The rapporteur concludes that it will be necessary to create a type of medium-term stabilization and regional development program.
main-forum	deft-forum	2014	263	0	That is why we are presenting this proposal, which is really a maintenance proposal, and we are telling the Commission that, without further delay, proposals should be drawn up no later than 2000-2003 in order to improve the system without decreasing the aid.	That is why we are presenting this proposal, which is really a maintenance proposal, and what we are saying to the Commission is that, without further delay, proposals must be drawn up at the latest for the 2000-2003 period to achieve an improvement in this system without decreasing aid.
main-forum	deft-forum	2014	264	0	We must maintain pressure in all areas by removing new barriers, increasing pressure on Member States that fail to implement Single Market measures and, of course, by expanding new key areas such as financial services.	We have to keep the pressure up in all areas by removing further barriers, intensifying pressure on Member States who fail to implement single market measures and, of course, extending into crucial new areas like financial services.
main-forum	deft-forum	2014	265	1	Can you tell us if the specific investment issue was addressed in one of today's discussions that you mentioned?	Can you tell us whether or not the specific investment issue was addressed in one of today's discussions that you mentioned?
main-forum	deft-forum	2014	266	0	If they are so sure that their products are safe, then why are they afraid to take their responsibilities, both in terms of liability and compensation?	If they are so sure that their products are safe then why are they afraid to take responsibility, both as regards liability and compensation?
main-forum	deft-forum	2014	267	0	However, the Achilles' heel of the Commission's proposals is the lack of sufficient protection of the interests of banana producers in the European Union, mainly in peripheral regions and overseas departments.	However, the Achilles' heel of the Commission' s proposals is the lack of sufficient protection for the interests of banana producers within the European Union, essentially in the peripheral regions and the overseas departments.
main-forum	deft-forum	2014	268	1	Finally, as far as the knowledge society is concerned, it goes without saying that we must transform our thinking not only technologically, but also socially.	Finally, as far as the knowledge society is concerned, it goes without saying that we must transform our thinking not only on a technological level, but also on a social level.
main-forum	deft-forum	2014	269	0	What must in one case be the subject of a policy of support for integration must, in others, in the interest of the refugees themselves, aim at a policy of support for return to the country or the area where they were forced to flee.	What must in one case be met with policies of support for integration must, in others, in the interests of the refugees themselves, be met with policies of support for a return to the country or region which they were forced to flee.
main-forum	deft-forum	2014	270	1	The uncertainties that remain in this area require the greatest caution!	The uncertainties that remain in this area require us the greatest caution!
main-forum	deft-forum	2014	271	1	Mr. Speaker, Mr. Solana, you have the full support and the confidence of the Liberals, but we want to remind you of the enormous responsibility now lying on your shoulders.	Mr. Speaker, Mr. Solana, you have the full support and confidence of the Liberals, but we want to remind you of the enormous responsibility now resting on your shoulders.
main-forum	deft-forum	2014	272	0	We have doubts about the relevance of the IGC because we are concerned that the goals actually tackled are far removed from the changes needed to allow the envisaged enlargement.	We have doubts concerning the appropriateness of the IGC because we fear that the objectives actually being addressed may be far removed from the changes required to allow for the enlargement envisaged.
main-forum	deft-forum	2014	273	0	The implementation of the framework agreement between the Palestinian authorities and Israel is also suspended for the moment.	The application of the framework agreement between the Palestinian authorities and Israel is also suspended at the moment.
main-forum	deft-forum	2014	274	1	It should be noted, however, that if the Commission formulates such criteria, it will do so as a recommendation.	It should be noted, however, that if the Commission will formulate such criteria, it will do so as a recommendation.
main-forum	deft-forum	2014	275	1	I therefore invite all parliamentarians who believe that subsidiarity should be removed from forests in order to place them under Community competence and work in this direction with their national governments.	I therefore call on all parliamentarians who are convinced that subsidiarity should be taken out of the forests, in order to put them under Community competence, to work in this direction with their national governments.
main-forum	deft-forum	2014	276	0	However, we do not want European co-operation to end or become a quarrel, which would be a risk if 30 countries could constantly use their veto.	We do not, however, want to see European cooperation cease or degenerate into bickering, which would be a risk if 30 countries could constantly use their vetoes.
main-forum	deft-forum	2014	277	0	Are there twelve members opposed to the vote on this oral amendment?	Are there twelve Members against putting this oral amendment to the vote?
main-forum	deft-forum	2014	278	1	With such amendments, we can not complain about what is happening in the candidate countries.	With such amendments, we can not complain about what is happening in the candidate countries.
main-forum	deft-forum	2014	279	0	To address specific issues, almost all the points raised in Mr Turmes' report deserve our support and fully support our own studies.	Going into specific issues, almost all of the points made in Mr Turmes' s report deserve our support and fully concur with our own studies.
main-forum	deft-forum	2014	280	1	Moreover, we defend the idea of ​​an indivisible political community, in which affiliations are not hidden, but "put at a distance".	In addition, we defend the idea of ​​an indivisible political community, in which affiliations are not hidden, but "put at a distance".
main-forum	deft-forum	2014	281	0	In the European Community, this will be done more and more by incinerating waste and recycling energy.	In the European Community, this will increasingly be done by incinerating waste and recycling energy.
main-forum	deft-forum	2014	282	1	This is an indication of our disadvantaged status.	This is an indication of our disadvantaged status.
main-forum	deft-forum	2014	283	1	Progress will not be due to the Commission, the Council or even the European Parliament, but to the Association of European Institutions and to the Member States themselves, because, as we have said here, the scoreboard will be entrusted to the Member States by virtue of the principle of subsidiarity.	Progress will be due not to the Commission, the Council or even the European Parliament, but to the Association of European Institutions and to the Member States themselves, since, as has been said here, of the scoreboard will be entrusted to the Member States by virtue of the principle of subsidiarity.
main-forum	deft-forum	2014	284	0	I am pleased that the European Parliament and the Council have decided to make 2001 the European Year of Languages.	I am glad the European Parliament and the Council have agreed to make 2001 the European Year of Languages.
main-forum	deft-forum	2014	285	1	As everyone knows, last year, at the fifty-fifth session of the Commission on Human Rights, the United States decided, at a very advanced stage, to introduce a draft resolution on China.	As everyone knows, last year, at the 55th session of the Commission on Human Rights, the United States decided, at a very advanced stage, to present a draft resolution on China.
main-forum	deft-forum	2014	286	1	Therefore, we categorically reject any policy of quotas and positive discrimination, the pies at the cream of the politically correct speech.	Therefore, we categorically reject any quota policy and positive discrimination, pies at the cream of the politically correct speech.
main-forum	deft-forum	2014	287	0	I think that the Council's position is quite commendable and I am also satisfied with the amendments of the committee and Mr Schnellhardt.	I think that the Council' s position is fairly commendable, and I am also satisfied with the amendments from the committee and from Mr Schnellhardt.
main-forum	deft-forum	2014	288	0	However, hedging transactions are already permitted in the current Article 21 (1) of the UCITS Directive 611/85.	But hedging operations are already allowed in the existing Article 21(1) of Directive 611/85 on UCITS.
main-forum	deft-forum	2014	289	0	Mr High Representative, you have told us about the progress made so far with regard to the decisions taken in Helsinki.	Mr High Representative, you have spoken to us of the progress made to date in relation to the decisions taken at Helsinki.
main-forum	deft-forum	2014	290	0	Including Jörg Haider's party in a coalition government makes the far-right presence a daily fact of life in Europe and sets an extremely dangerous precedent that could have serious consequences for other EU Member States or candidate countries.	Including JÃ¶rg Haider' s party in a coalition government makes the presence of the extreme right an everyday fact of life in Europe, and sets an extremely dangerous precedent which may generate a serious aftermath in other Union Member States or in candidate countries.
main-forum	deft-forum	2014	291	1	Madam, this is an exhortation and not a question.	Madam, this is an exhortation and not a question.
main-forum	deft-forum	2014	292	1	These are the three main objectives of the directive.	These are the three main objectives of the directive.
main-forum	deft-forum	2014	293	0	Now it would be a real progress.	Now that would be real progress.
main-forum	deft-forum	2014	294	1	Solidarity is in the traditions of Europe and we have the experience of doing things better.	Solidarity is in the traditions of Europe and we enjoy the experience of doing things better.
main-forum	deft-forum	2014	295	1	So do not start with a cost-benefit analysis.	So do not start with a cost-benefit analysis.
main-forum	deft-forum	2014	296	1	We will be able to report them when the time comes.	We will be able to report them when the time comes.
main-forum	deft-forum	2014	297	1	Members of ECHO, the Directorate-General for Development and the Member States were present.	Elements from ECHO, the Directorate-General for Development and the Member States were present.
